"%d Review(s)","%d reseña(s)"
"%s Review(s)","%s reseña(s)"
"(Posted on %s)","(Publicado en %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Review","Agregar nueva reseña"
"Add Your Review","Agregar su reseña"
"Administrator","Administrador"
"All Reviews","Todos los comentarios"
"All reviews of customer `%s`","Todos los comentarios `%s`"
"Allow guests to write reviews","Permitir a invitados escribir comentarios"
"Are you sure you want to do this?","¿Está seguro que desea hacer esto?"
"Are you sure?","¿Está seguro?"
"Average Customer Rating","Calificación promedio del cliente"
"Average Customer Rating:","Calificación promedio del cliente:"
"Back","Regresar"
"Back to Main Product Info","Regresar a la información principal del artículo"
"Back to My Reviews","Regresar a Mis reseñas"
"Back to Product Reviews","Regresar a las reseñas de los artículos"
"Be the first to review this product","Sea el primero en realizar una reseña de este artículo"
"Created On","Creado en"
"Customer","Cliente"
"Customer Reviews","Reseñas del cliente"
"Delete","Eliminar"
"Delete Review","Eliminar reseña"
"Detailed Rating","Evaluación detallada"
"Edit Review '%s'","Modificar reseñas '%s'"
"Guest","Invitado"
"How do you rate this product?","¿Como evalúa este artículo?"
"ID","ID"
"Manage Ratings","Administración de calificaciones"
"My Product Reviews","Mis reseñas de artículos"
"My Recent Reviews","Mis reseñas recientes"
"Name","Nombre"
"Name In Store","Nombre en la tienda"
"New Review","Comentario nuevo"
"Nickname","Apodo"
"Pending Reviews","Reseñas pendientes"
"Pending reviews","Reseñas pendientes"
"Pending reviews of customer `%s`","Reseñas pendientes del cliente `%s`"
"Please select a product","Seleccione un artículo"
"Please select one of each of the ratings above","Seleccione una por una las calificaciones de arriba"
"Posted By","Publicado por"
"Price","Precio"
"Product","Artículo"
"Product Name","Nombre del artículo"
"Product Rating","Calificación del artículo"
"Product Rating:","Calificación del artículo:"
"Product Review (submitted on %s):","Reseña del artículo (presentada en %s):"
"Product Reviews","Reseña del artículo"
"Product SKU","No. Ref. (SKU) del artículo"
"Qty","Cant."
"Rating:","Calificación:"
"Review","Reseña"
"Review Details","Detalles de la reseña"
"Review by %s","Reseña por %s"
"Reviews and Ratings","Reseñas y Calificaciones"
"SKU","No. Ref. (SKU)"
"Save Review","Guardar reseña"
"Status","Estatus"
"Submit Review","Enviar reseña"
"Summary Rating","Resumen de la calificación"
"Summary of Review","Resumen de la reseña"
"Summary of Your Review","Resumen de su reseña"
"Summary of review","Resumen de la reseña"
"Title","Título"
"Type","Tipo"
"Unable to post review. Please, try again later.","No fue posible enviar su reseña. Intente más tarde."
"Update status","Actualizar estado"
"View All Reviews","Ver todas las reseñas"
"View Details","Ver detalles"
"Visible In","Visible en"
"Websites","Sitio Web"
"Write Your Own Review","Escriba su propia reseña"
"You have submitted no reviews.","No ha escrito ninguna reseña."
"You're reviewing: %s","Esta revisando: %s"
"Your Rating:","Su calificación:"
"Your Review (submitted on %s):","Su reseña (enviada el %s):"
"Your review has been accepted for moderation","Su reseña ha sido aceptada"
"OR","OR"
"My Product Reviews","Mis reseñas de artículos"
